Year	Salaca	Vitrupe	Pēterupe	Gauja	Daugava	Irbe	Venta	Saka	Uzava	Barta	Nemunas	AU5 total	Kymijoki	Neva	Luga	Gladyshevka	Purtse	Kunda	Selja	Loobu	Pirita	Vasalemma	Keila	Valgejõgi	Jägala	Vääna	AU6 total
2000	18											20	2	7	5			2.8	2.3	0.5	0.1	0	0.4	0.1	0	0	20
2001	30											35	12	6	2.5			1.2	0.3	0.7	0.6	0.3	1.3	0.1	0	0	25
2002	24			0.3			0					33	13	6	8			2.3	0	0.3	0.1	0.2	0.4	0.1	0	0	30
2003	22						0				4	26	21	6	7.2			0.8	0	0.1	0.3	0.1	0.1	0	0	0	35
2004	3	0		0	0		0				2.5	6	13	0	2			0.6	0.1	2.4	2.8	0	0	0.03	0	0	21
2005	26.3			2.9			7.4				6	43	6	0	2.6			0.1	0.9	4	0.8	0	0	0.4	0	0	15
2006	25			0.7	0		17.2				6	50	24	0	7.8			2.2	2.1	8	3	0	0.7	0.3	0	0	48
2007	11.3	0.6	0	2.4			2	0		0	5	21	41	0	7	0.1		1.9	0.2	1.7	0.7	0.2	2	0.3	0	0	55
2008	25	0		0.2	0		0.6	0		0	13	39	20	0	3	0.1	0	0.9	0.1	0	4	0	0.7	0.7	0	0.1	28
2009	18.2	0.5	0	1.1	0		1.8	0.4	0.1		42	64	12	0	4	0.1	2.6	0.1	4	0.1	5	0.2	1.1	0.5	0	0	30
2010	11.5	0	0	1	0		1.9	0.3	0		48	63	11	0	6.7	0.1	2.2	0.1	4	10	8	0.1	6	0.6	0	0.6	49
2011	2.1			0.2			0	0			7	9	25	0	4.3	0.2	0.4	0.2	1.1	4	1	0.3	3	0.8	0	0.2	41
2012	4.9		0.2	0.2			0.7				29	34	26	0	6	0.3	1.1	2.1	0.8	4	1.9	0.7	6	0.4	0	0.1	49
2013	9.5	0.1	0	0.2			1.8				13	26	9	0	5	0.3	0	2	2.7	2.7	6	0.2	1	0.1	0	0	29
2014	5.7	0.1	0	0.4	0	0	1.3	0	0	0	12	20	29	0	7	0.3	4	1	3	4	6	0.6	8	0.4	0	0.2	62
2015	17.5	0.6	1.9	2.9	0	0	2.5	0.1	0.1	0	34	61	16	0	7	0.4	3	1.3	3	12	5	0.7	12	0.5	0	0.3	61
2016	37.9	2.2	0	1	0	0	5.3	0		0	37	82	37	0	5	0.4	2.1	2.1	0.6	0.8	11	1.1	4	0.7	0	0.2	66
2017	9.7	0	0	0.1	0	0	0.7	0	0	0	26	38	78	0	2	0.4	1.3	4	0.5	2	1.4	0	6	0.2	0	0	96
2018	18.4	0	0	1.7	0	0	1.3	0	0	0	20	43	23	0	6	0.4	0.9	3	0	0.6	11	0.7	7	0.4	0	0	53
2019	5.1	0.1	0.4	1.6	0	0	0.1	0	0	0	32	39	8		9	0.4	4	3	5	7	3	1.5	6	0.4		0.1	46
2020	12.8	0	0	1		0	0.5	0	0	0	58	67	66		6	0.4	4	2.5	2.2	7	6	1	6	0.4		0.1	100
2021	20.9	3	0.9	1.4	0	0	0.8	0.1	0	0	55		43					6	1.7	7	10	2.2	8	4		0.3	83
2022	6.3	0.7	0	0	0	0	0.2	0	0	0	39		65				5	6	1.6	12	4	2	8	8		0.1	110
2023	19.3	0	0.2	0.8	0	0	0.2	0.4	0	0	48		40				1.6	8	2.3	1.2	4	1.7	7	3	0.2	0.2	70
2024	6	0	0	0.2	0	0	0.9	0.3	0	0	62		22				1.7	5	1.7	5	3	1.1	3		0	0.1	43
