AU	river	year	median	mean	SD	Comment	IS	CIS	Note	n_smolt	age1	age2	age3
AU6	Pirita	2006	2164.322703	2956	2751	Parr releases	0.772107473	0.93052361	median estimated from mean and SD	389	4.6	95.4	0
AU6	Pirita	2007	997.3419487	1606	2027	Parr releases	-0.00266159	1.262141968	median estimated from mean and SD	73	11	89	0
AU6	Pirita	2008	1995.485655	2475.016393	1816		0.690887457	0.733732514	median estimated from mean and SD	674	16.6	82.8	0.6
AU6	Pirita	2009	4484.028837	5700.246575	4474		1.500521936	0.784878328	median estimated from mean and SD	1338	29.1	70.3	0.6
AU6	Pirita	2010	6098.298165	8463.888889	8146		1.808009743	0.962441746	median estimated from mean and SD	554	15.7	84.3	0.8
AU6	Pirita	2011	1063.306621	1584	1749		0.061383507	1.104166667	median estimated from mean and SD	98	4.1	94.9	1
AU6	Pirita	2012	1416.831169	1860	1582		0.348422806	0.850537634	median estimated from mean and SD	315	2.9	95.8	1.3
AU6	Pirita	2013	4053.812551	5581	5281		1.399657809	0.946246192	median estimated from mean and SD	463	91.3	8.7	0
AU6	Pirita	2014	3829.814601	5139	4598		1.342816395	0.894726601	median estimated from mean and SD	614	15.5	84	0.5
AU6	Pirita	2015	2681.985799	3505	2949		0.98655749	0.841369472	median estimated from mean and SD	606	40.5	58.7	0.8
AU6	Pirita	2016	8218.496408	10355	7937		2.106387274	0.766489619	median estimated from mean and SD	2543	84.7	15.2	0.1
AU6	Pirita	2017	1208.877643	1729	1768		0.189692361	1.022556391	median estimated from mean and SD	133	0	100	0
AU6	Pirita	2018	8552.342004	11278	9695		2.146205164	0.859638234	median estimated from mean and SD	463	93.8	6.1	0.1
AU6	Pirita	2019	2394.007492	2962	2158	Last year of stocking? About 5000 fish?	0.872968737	0.728561783	median estimated from mean and SD	823	12.9	86.3	0.8
AU6	Pirita	2020	4373.214502	5953	5498		1.475498323	0.923567949	median estimated from mean and SD	570	36.9	62.7	0.4
AU6	Pirita	2021	7934.494654	10437	8919		2.071219666	0.854555907	median estimated from mean and SD	1598	65.6	34.3	0.1
AU6	Pirita	2022	2536.667217	3486	3286		0.9308511	0.942627653	median estimated from mean and SD	344	20	80	0
AU6	Pirita	2023	1761.205079	2249	1786		0.565998279	0.794130725	median estimated from mean and SD	507	18.1	81.9	0
AU6	Pirita	2024	2558.905592	3540	3384		0.939579664	0.955932203	median estimated from mean and SD	289	44	55.7	0.3
AU6	Pirita	2025	2634.777754	3524	3130		0.968798835	0.888195233	median estimated from mean and SD	459	43.8	56.2	0
AU5	Salaca	1964	15706.01663	16707.16731	6059.647185		2.754043864	0.362697462	median estimated from mean and SD	609	5.4	85.4	9.2
AU5	Salaca	1965	23163.65488	25008.6	10178.2358		3.14258445	0.406989427	median estimated from mean and SD	649	33.6	64.7	1.7
AU5	Salaca	1966	29757.84375	30767.25	8081.425082		3.393092753	0.262663224	median estimated from mean and SD	581	15.0	84.3	0.7
AU5	Salaca	1967	13764	13764					median estimated from mean and SD	174	31.6	64.9	3.4
AU5	Salaca	1968	39588.69708	40502.40417	8751.957975		3.67854365	0.216084901	median estimated from mean and SD	907	52.4	46.1	1.5
AU5	Salaca	1969	26415.50381	26683.43275	3810.092535		3.273951103	0.142788695	median estimated from mean and SD	919	23.3	75.5	1.2
AU5	Salaca	1970	19380.68954	19792.54545	4102.039133		2.964277186	0.207251722	median estimated from mean and SD	334	10.8	88.6	0.6
AU5	Salaca	1971	10953.78588	11939	5176.286937		2.393685139	0.433561181	median estimated from mean and SD	388	33.0	60.1	7.0
AU5	Salaca	1972	10632.56888	11514.33333	4785.566777		2.363921826	0.415618225	median estimated from mean and SD	274	45.3	54.0	0.7
AU5	Salaca	1973	8919.165342	9223.769231	2431.116119		2.188202371	0.263570787	median estimated from mean and SD	237	36.7	62.0	1.3
AU5	Salaca	1974	12190.23376	12810.46667	4138.151681		2.50063512	0.323028957	median estimated from mean and SD	428	43.9	55.8	0.2
AU5	Salaca	1975	9157.987717	9890.4	4033.859061		2.214626473	0.407856008	median estimated from mean and SD	345	45.5	51.3	3.2
AU5	Salaca	1976	15770.12413	16051.5	3045.685865		2.758117272	0.189744626	median estimated from mean and SD	212	53.3	45.3	1.4
AU5	Salaca	1977	11104	11104					median estimated from mean and SD	133	36.8	60.9	2.3
