ncr_ObsTot[]	ncc_ObsTot[]	nco_ObsTot[]	nct_ObsTot[]
8.61	71.94	644.96	0.82
10.82	76.33	460.82	1.18
14.14	140.48	778.01	1.42
22.82	280.63	585.61	1.68
21.34	207.85	363.68	2.02
20.97	216.10	458.13	2.33
20.16	209.06	378.67	2.63
17.10	119.23	404.06	2.92
22.03	163.19	460.24	3.22
35.40	155.70	408.72	3.52
44.97	149.44	290.37	6.49
29.48	104.33	404.65	6.79
29.52	97.10	351.93	7.04
28.45	82.55	401.24	7.26
29.66	121.21	397.67	8.90
26.02	120.05	271.06	9.47
21.81	115.00	557.00	10.35
23.60	166.27	402.29	11.96
28.81	120.80	247.67	16.01
18.01	72.35	169.51	19.61
21.50	68.93	83.85	23.55
43.76	90.95	99.37	25.37
31.59	114.25	162.51	27.33
17.10	67.93	118.87	26.97
19.16	68.09	76.42	29.30
48.63	70.06	37.48	30.39
38.39	67.48	44.77	32.04
41.97	67.23	36.28	39.54
46.88	63.64	45.82	30.98
50.73	60.78	39.68	24.41
37.67	51.92	60.06	27.74
41.28	57.30	21.58	31.37
42.39	54.85	13.09	25.42
51.00	51.91	23.12	25.22
48.24	53.19	1.28	24.32
25.80	38.74	0.55	11.32
17.36	32.43	0.78	12.76
14.35	29.17	NA	NA
