"ncr_ObsTot.."	"ncc_ObsTot.."	"nco_ObsTot.."	"nct_ObsTot.."
8.172	71.94	644.96	0.82
10.435	76.33	460.82	1.18
11.426	140.48	778.01	1.42
20.5	280.63	585.61	1.68
18.448	207.85	363.68	2.02
17.2	216.1	458.13	2.33
18.515	209.06	378.67	2.63
15.822	119.23	404.06	2.92
20.742	163.19	460.24	3.22
28.672	155.7	408.72	3.52
36.156	149.44	290.37	6.49
24.975	104.33	404.65	6.79
27.358	97.1	351.93	7.04
19.558	82.55	401.24	7.26
20.492	121.21	397.67	8.9
18.887	120.05	271.06	9.47
17.162	115	557	10.35
17.493	166.27	402.29	11.96
21.081	120.8	247.67	16.01
14.775	72.35	169.51	19.61
15.43	68.93	83.85	23.55
29.326	90.95	99.37	25.37
24.027	114.25	162.51	27.33
11.935	67.93	118.87	26.97
13.056	68.09	76.42	29.3
31.78	70.06	37.48	30.39
26.357	67.48	44.77	32.04
22.349	67.23	36.28	39.54
28.733	63.64	45.82	30.98
27.306	60.78	39.68	24.41
23.407	51.92	60.06	27.74
27.237	57.3	21.58	31.37
26.007	54.85	13.09	25.42
32.536	51.91	23.12	25.22
23.899	53.19	1.28	24.32
10.824	38.74	0.55	11.32
9.724	32.43	0.78	12.76
7.901	29.17	NA	NA
