Edo[,1]	Edo[,2]	Edo[,3]	Edo[,4]	Edo[,5]	Edo[,6]	El[,1]	El[,2]	El[,3]	El[,4]	El[,5]	El[,6]	Edc[,1]	Edc[,2]	Edc[,3]	Edc[,4]	Edc[,5]	Edc[,6]	Er[,1]	Er[,2]	Er[,3]	Er[,4]	Er[,5]	Er[,6]
40.36	34.56	34.44	32.79	29.51	32.06	37.11	23.91	23.47	21.89	17.09	13.91	3.29	2.56	3.78	3.64	4.31	4.74	10	10	10	10	10	10
34.56	34.44	32.79	29.51	32.06	21.55	23.91	23.47	21.89	17.09	13.91	10.42	2.56	3.78	3.64	4.31	4.74	6.22	10	10	10	10	10	10
34.44	32.79	29.51	32.06	21.55	31.2	23.47	21.89	17.09	13.91	10.42	8.52	3.78	3.64	4.31	4.74	6.22	5.81	10	10	10	10	10	10
32.79	29.51	32.06	21.55	31.2	17.84	21.89	17.09	13.91	10.42	8.52	9.32	3.64	4.31	4.74	6.22	5.81	4.53	10	10	10	10	10	10
29.51	32.06	21.55	31.2	17.84	12.88	17.09	13.91	10.42	8.52	9.32	12.52	4.31	4.74	6.22	5.81	4.53	0.79	10	10	10	10	10	10
32.06	21.55	31.2	17.84	12.88	17.23	13.91	10.42	8.52	9.32	12.52	15.71	4.74	6.22	5.81	4.53	0.79	1.18	10	10	10	10	10	10
21.55	31.2	17.84	12.88	17.23	17.36	10.42	8.52	9.32	12.52	15.71	11.48	6.22	5.81	4.53	0.79	1.18	1.12	10	10	10	10	10	10
31.2	17.84	12.88	17.23	17.36	16.44	8.52	9.32	12.52	15.71	11.48	18.69	5.81	4.53	0.79	1.18	1.12	1.27	10	10	10	10	10	10
17.84	12.88	17.23	17.36	16.44	18.77	9.32	12.52	15.71	11.48	18.69	20.08	4.53	0.79	1.18	1.12	1.27	1.07	10	10	10	10	10	10
12.88	17.23	17.36	16.44	18.77	18.18	12.52	15.71	11.48	18.69	20.08	18.11	0.79	1.18	1.12	1.27	1.07	1.03	10	10	10	10	10	10
17.23	17.36	16.44	18.77	18.18	10.8	15.71	11.48	18.69	20.08	18.11	18.28	1.18	1.12	1.27	1.07	1.03	0.86	10	10	10	10	10	10
17.36	16.44	18.77	18.18	10.8	13.29	11.48	18.69	20.08	18.11	18.28	14.39	1.12	1.27	1.07	1.03	0.86	0.95	10	10	10	10	10	10
16.44	18.77	18.18	10.8	13.29	13.45	18.69	20.08	18.11	18.28	14.39	7.93	1.27	1.07	1.03	0.86	0.95	1.04	10	10	10	10	10	10
18.77	18.18	10.8	13.29	13.45	13.79	20.08	18.11	18.28	14.39	7.93	10.99	1.07	1.03	0.86	0.95	1.04	0.84	10	10	10	10	10	10
18.18	10.8	13.29	13.45	13.79	11.77	18.11	18.28	14.39	7.93	10.99	6.96	1.03	0.86	0.95	1.04	0.84	0.78	10	10	10	10	10	10
10.8	13.29	13.45	13.79	11.77	4.14	18.28	14.39	7.93	10.99	6.96	6.40	0.86	0.95	1.04	0.84	0.78	0.46	10	10	10	10	10	10
13.29	13.45	13.79	11.77	4.14	0.01	14.39	7.93	10.99	6.96	6.40	19.80	0.95	1.04	0.84	0.78	0.46	0.01	10	10	10	10	10	10
13.45	13.79	11.77	4.14	0.01	0.01	7.93	10.99	6.96	6.40	19.80	21.35	1.04	0.84	0.78	0.46	0.01	0.01	10	10	10	10	10	10
13.79	11.77	4.14	0.01	0.01	0.01	10.99	6.96	6.40	19.80	21.35	26.39	0.84	0.78	0.46	0.01	0.01	0.01	10	10	10	10	10	10
11.77	4.14	0.01	0.01	0.01	0.01	6.96	6.40	19.80	21.35	26.39	14.42	0.78	0.46	0.01	0.01	0.01	0.01	10	10	10	10	10	10
4.14	0.01	0.01	0.01	0.01	0.01	6.40	19.80	21.35	26.39	14.42	6.67	0.46	0.01	0.01	0.01	0.01	0.01	10	10	10	10	10	10
0.01	0.01	0.01	0.01	0.01	0.01	19.80	21.35	26.39	14.42	6.67	11.76	0.01	0.01	0.01	0.01	0.01	0.01	10	10	10	10	10	10
0.01	0.01	0.01	0.01	0.01	0.01	21.35	26.39	14.42	6.67	11.76	8.03	0.01	0.01	0.01	0.01	0.01	0.01	10	10	10	10	10	10
0.01	0.01	0.01	0.01	0.01	0.01	26.39	14.42	6.67	11.76	8.03	12.62	0.01	0.01	0.01	0.01	0.01	0.01	10	10	10	10	10	10
0.01	0.01	0.01	0.01	0.01	0.01	14.42	6.67	11.76	8.03	12.62	15.06	0.01	0.01	0.01	0.01	0.01	0.01	10	10	10	10	10	10
0.01	0.01	0.01	0.01	0.01	0.01	6.67	11.76	8.03	12.62	15.06	11.05	0.01	0.01	0.01	0.01	0.01	0.01	10	10	10	10	10	10
0.01	0.01	0.01	0.01	0.01	0.01	11.76	8.03	12.62	15.06	11.05	4.16	0.01	0.01	0.01	0.01	0.01	0.01	10	10	10	10	10	10
0.01	0.01	0.01	0.01	0.01	0.01	8.03	12.62	15.06	11.05	4.16	3.71	0.01	0.01	0.01	0.01	0.01	0.01	10	10	10	10	10	10
