Ectn[,1,1]	Ectn[,1,2]	Ectn[,1,3]	Ectn[,1,4]	Ectn[,2,1]	Ectn[,2,2]	Ectn[,2,3]	Ectn[,2,4]	Ectn[,3,1]	Ectn[,3,2]	Ectn[,3,3]	Ectn[,3,4]	Ectn[,4,1]	Ectn[,4,2]	Ectn[,4,3]	Ectn[,4,4]	Ectn[,5,1]	Ectn[,5,2]	Ectn[,5,3]	Ectn[,5,4]	Ectn[,6,1]	Ectn[,6,2]	Ectn[,6,3]	Ectn[,6,4]	Ecgn[,1,1]	Ecgn[,1,2]	Ecgn[,1,3]	Ecgn[,1,4]	Ecgn[,2,1]	Ecgn[,2,2]	Ecgn[,2,3]	Ecgn[,2,4]	Ecgn[,3,1]	Ecgn[,3,2]	Ecgn[,3,3]	Ecgn[,3,4]	Ecgn[,4,1]	Ecgn[,4,2]	Ecgn[,4,3]	Ecgn[,4,4]	Ecgn[,5,1]	Ecgn[,5,2]	Ecgn[,5,3]	Ecgn[,5,4]	Ecgn[,6,1]	Ecgn[,6,2]	Ecgn[,6,3]	Ecgn[,6,4]
71	44	43	0	85	56	59	0	68	42	40	0	111	71	68	0	103	71	73	0	116	68	62	0	2.63	2.44	5.26	0	2.45	2.59	7.98	0	3.46	3.85	4.63	0	2.61	2.34	2.80	0	4.61	3.60	4.04	0	3.52	2.83	3.39	0
85	56	59	0	68	42	40	0	111	71	68	0	103	71	73	0	116	68	62	0	119	76	80	0	2.45	2.59	7.98	0	3.46	3.85	4.63	0	2.61	2.34	2.80	0	4.61	3.60	4.04	0	3.52	2.83	3.39	0	2.88	1.61	2.16	0
68	42	40	0	111	71	68	0	103	71	73	0	116	68	62	0	119	76	80	0	84	59	55	0	3.46	3.85	4.63	0	2.61	2.34	2.80	0	4.61	3.60	4.04	0	3.52	2.83	3.39	0	2.88	1.61	2.16	0	1.95	2.11	2.06	0
111	71	68	0	103	71	73	0	116	68	62	0	119	76	80	0	84	59	55	0	71	45	42	0	2.61	2.34	2.80	0	4.61	3.60	4.04	0	3.52	2.83	3.39	0	2.88	1.61	2.16	0	1.95	2.11	2.06	0	1.53	1.47	1.42	0
103	71	73	0	116	68	62	0	119	76	80	0	84	59	55	0	71	45	42	0	58	42	29	0	4.61	3.60	4.04	0	3.52	2.83	3.39	0	2.88	1.61	2.16	0	1.95	2.11	2.06	0	1.53	1.47	1.42	0	1.00	0.93	0.90	0
116	68	62	0	119	76	80	0	84	59	55	0	71	45	42	0	58	42	29	0	63	45	34	0	3.52	2.83	3.39	0	2.88	1.61	2.16	0	1.95	2.11	2.06	0	1.53	1.47	1.42	0	1.00	0.93	0.90	0	1.07	0.82	0.85	0
119	76	80	0	84	59	55	0	71	45	42	0	58	42	29	0	63	45	34	0	29	20	16	0	2.88	1.61	2.16	0	1.95	2.11	2.06	0	1.53	1.47	1.42	0	1.00	0.93	0.90	0	1.07	0.82	0.85	0	0.08	0.05	0.05	0
84	59	55	0	71	45	42	0	58	42	29	0	63	45	34	0	29	20	16	0	43	32	21	0	1.95	2.11	2.06	0	1.53	1.47	1.42	0	1.00	0.93	0.90	0	1.07	0.82	0.85	0	0.08	0.05	0.05	0	0.09	0.06	0.05	0
71	45	42	0	58	42	29	0	63	45	34	0	29	20	16	0	43	32	21	0	35	23	20	0	1.53	1.47	1.42	0	1.00	0.93	0.90	0	1.07	0.82	0.85	0	0.08	0.05	0.05	0	0.09	0.06	0.05	0	0.08	0.06	0.05	0
58	42	29	0	63	45	34	0	29	20	16	0	43	32	21	0	35	23	20	0	41	24	31	0	1.00	0.93	0.90	0	1.07	0.82	0.85	0	0.08	0.05	0.05	0	0.09	0.06	0.05	0	0.08	0.06	0.05	0	0.04	0.03	0.03	0
63	45	34	0	29	20	16	0	43	32	21	0	35	23	20	0	41	24	31	0	46	30	28	0	1.07	0.82	0.85	0	0.08	0.05	0.05	0	0.09	0.06	0.05	0	0.08	0.06	0.05	0	0.04	0.03	0.03	0	0.04	0.03	0.03	0
29	20	16	0	43	32	21	0	35	23	20	0	41	24	31	0	46	30	28	0	47	27	35	0	0.08	0.05	0.05	0	0.09	0.06	0.05	0	0.08	0.06	0.05	0	0.04	0.03	0.03	0	0.04	0.03	0.03	0	0.09	0.07	0.10	0
43	32	21	0	35	23	20	0	41	24	31	0	46	30	28	0	47	27	35	0	42	28	23	0	0.09	0.06	0.05	0	0.08	0.06	0.05	0	0.04	0.03	0.03	0	0.04	0.03	0.03	0	0.09	0.07	0.10	0	0.04	0.02	0.02	0
