	Finland	Total
1987	3.287112532	3.287112532
1988	2.563872258	2.563872258
1989	3.781897471	3.781897471
1990	3.64326	3.64326
1991	4.3142	4.3142
1992	4.73579	4.73579
1993	6.21817	6.21817
1994	5.81306	5.81306
1995	4.52858	4.52858
1996	0.78686	0.78686
1997	1.18207	1.18207
1998	1.12393	1.12393
1999	1.26582	1.26582
2000	1.07008	1.07008
2001	1.02657	1.02657
2002	0.86357	0.86357
2003	0.95022	0.95022
2004	1.0365	1.0365
2005	0.84223	0.84223
2006	0.779154238	0.779154238
2007	0.45707	0.45707
2008	0	0
2009	0	0
2010	0	0
2011	0	0
2012	0	0
2013	0	0
2014	0	0
2015	0	0
2016	0	0
2017	0	0
2018	0	0
2019	0	0
2020	0	0
2021	0	0
2022	0	0
2023	0	0
