	Finland	Sweden	Finland	Sweden
1987	1.80642	3.45459	0.82614	0.62869
1988	1.65449	6.32590	0.79779	0.93956
1989	2.31599	2.31467	1.13993	1.53084
1990	2.18211	0.61399	0.42557	0.15328
1991	3.12104	0.92222	1.48949	0.48256
1992	2.31377	1.08007	1.20141	0.51297
1993	1.45881	0.69829	1.42364	0.15593
1994	1.69075	0.36773	0.25608	0.41852
1995	1.30591	0.11314	0.21937	0.16668
1996	0.86694	0.03551	0.13715	0.05912
1997	0.80025	0.04614	0.27407	0.01898
1998	0.05094	0.00128	0.03298	0.00356
1999	0.04526	0.00545	0.04799	0.01189
2000	0.04852	0.00519	0.03472	0.00735
2001	0.02375	0.00139	0.01504	0.00286
2002	0.02106	0.01047	0.01672	0.01145
2003	0.07003	0.02981	0.01790	0.00245
2004	0.01453	0.00825	0.02734	0.00285
2005	0.03167	0.02677	0.01290	0.03176
2006	0.03234	0.02258	0.00707	0.00568
2007	0.02856	0.01746	0.01415	0.00059
2008	0.03222	0.02004	0.06461	0.01264
2009	0.05141	0.00270	0.01915	0.00014
2010	0.02393	0.00094	0.01799	0.00000
2011	0.02487	0.00580	0.00908	0.00511
2012	0.01537	0.00014	0.01373	0.00003
2013	0.02474	0.00004	0.00692	0.00025
2014	0.03121	0.00014	0.00487	0.00000
2015	0.02492	0.00086	0.00718	0.00010
2016	0.04154	0.00659	0.01547	0.00000
2017	0.04591	0.00035	0.00661	0.00057
2018	0.04549	0.00004	0.00357	0.00041
2019 	0.06306 0.00064 0.00605 0.00000
2020 	0.03493 0.00011 0.00580 0.00000
2021 	0.04445 0.00000 0.00439 0.00000
2022 	0.06067 0.00007 0.00517 0.00000
2023	0.05806 0.00030 0.01057 0.00000
2024	0.02706 0.00015 0.00500 0.00000
