# Fin 30, swe 30, fin 31, swe 31				
	Finland	Sweden	Finland	Sweden
1987	27.838	14.866	30.371	28.828
1988	31.087	27.752	33.770	44.676
1989	26.847	13.288	29.095	27.535
1990	46.061	22.091	44.863	45.353
1991	40.763	32.414	37.592	54.937
1992	51.819	9.884	50.657	29.594
1993	54.701	25.210	47.044	39.451
1994	33.253	22.003	29.218	47.699
1995	26.136	16.029	29.422	33.583
1996	23.092	5.937	19.659	34.478
1997	24.439	9.656	22.164	36.665
1998	8.089	7.682	10.643	22.027
1999	9.943	10.946	15.476	39.822
2000	9.239	11.158	14.122	25.717
2001	12.492	23.039	19.701	28.485
2002	11.809	19.913	20.239	40.984
2003	9.038	25.906	23.536	32.767
2004	6.226	16.953	17.350	39.987
2005	7.197	20.268	16.134	48.157
2006	5.402	12.166	12.893	34.494
2007	5.723	12.762	14.795	33.085
2008	5.439	17.923	13.301	19.990
2009	6.199	9.519	11.771	32.681
2010	5.768	11.637	12.210	35.693
2011	5.196	10.592	11.971	23.911
2012	6.316	4.039	10.577	9.814
2013	4.591	6.686	8.547	16.624
2014	3.412	5.672	6.880	23.312
2015	3.451	4.369	6.607	14.233
2016	4.146	4.419	7.758	8.949
2017	4.029	5.370	6.565	9.943
2018 	4.034  	4.883  	7.005  	8.864
2019 	3.914  	3.676  	6.923  	5.010
2020 	4.088  3.999  7.011  7.330
2021 	3.945  2.507  5.660  7.440
2022 	3.358  2.094  5.930  5.258
2023 	3.694  1.272  5.815  7.205
2024 	1.292  0.106  2.929  6.533
