	Finland	Sweden	Denmark	Poland	Latvia	Total
1987	7.758321385	12.49178466	11.30312345	1.942317806	6.869	40.36454731
1988	6.217831584	10.71380488	11.84655235	0.850968426	4.935	34.56415724
1989	9.37545968	9.439919176	10.3896053	1.152904322	4.085	34.44288848
1990	15.78647805	5.748618524	6.333644953	1.312262815	3.611	32.79200434
1991	13.58150794	5.461504998	6.938607688	1.338279419	2.193	29.51290004
1992	13.47119136	7.530380402	5.873852423	3.045986922	2.137	32.05841111
1993	5.792115565	7.536592697	3.965664673	3.191025201	1.069	21.55439814
1994	9.74165	7.793886935	6.044950818	6.074625409	1.542	31.19711316
1995	5.885890482	4.451049527	2.238292629	4.118652892	1.145	17.83888553
1996	3.479769871	3.176422009	1.192935101	3.845681538	1.186	12.88080852
1997	4.069594372	2.740370264	4.030783235	4.921167673	1.473	17.23491554
1998	4.102573938	4.277892689	1.437753526	6.152727767	1.394	17.36494792
1999	3.646608161	3.038052829	1.384442795	7.34960703	1.023	16.44171081
2000	3.390169735	3.431312549	2.231072214	8.919050485	0.80148	18.77308498
2001	2.812759827	3.524659873	1.427213881	9.642009675	0.77421	18.18085325
2002	1.89328	1.474747429	0.7265	6.410850879	0.29355	10.79892831
2003	1.69224	2.48641	0.75651	8.06937	0.29041	13.29494
2004	2.01487	2.17835	1.10697	7.83744	0.30825	13.44588
2005	2.07779	3.134982714	0.65999	7.76696	0.1479	13.78762271
2006	2.01385	2.84923	0.21606	6.51198	0.1829	11.77402
2007	0.90455	0.7986	0.07964	2.27063	0.0828	4.13622
2008	0	0	0	0	0	0
2009	0	0	0	0	0	0
2010	0	0	0	0	0	0
2011	0	0	0	0	0	0
2012	0	0	0	0	0	0					
2013	0	0	0	0	0	0
2014	0	0	0	0	0	0
2015	0	0	0	0	0	0
2016	0	0	0	0	0	0
2017	0	0	0	0	0	0
2018	0	0	0	0	0	0
2019	0	0	0	0	0	0
2020	0	0	0	0	0	0
2021	0	0	0	0	0	0
2022	0	0	0	0	0	0
2023	0	0	0	0	0	0
2024	0	0	0	0	0	0

						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
