TorneM[]	TorneT[]	KalixM[]	KalixT[]	ByskeM[]	ByskeT[]	UmeM[]	UmeT[]	OreM[]	OreT[]	PiteM[]	PiteT[]
36	40	NA	100	NA	100	193	246	9	13	NA	500
13	21	NA	100	NA	100	367	446	9	23	NA	500
12	78	NA	100	NA	100	296	597	8	13	NA	500
11	33	139	639	NA	100	767	1572	21	65	NA	500
26	71	122	437	NA	100	228	356	32	51	NA	500
71	134	288	656	NA	100	317	354	33	63	57	115
116	172	158	567	NA	100	921	1663	44	54	14	27
34	39	144	806	NA	100	984	1309	34	39	14	30
75	113	736	1282	NA	100	619	1164	11	18	23	66
NA	166	2736	3781	2421	2691	1743	1939	21	24	89	146
NA	166	5184	5961	1025	1386	1602	1780	41	51	614	658
NA	166	1525	2459	707	786	447	1154	28	30	147	338
NA	166	1515	2013	447	721	1614	2208	27	52	185	220
NA	166	1398	2459	908	1157	946	3367	NA	50	204	534
NA	166	4239	8890	1435	2085	1373	5476	NA	50	668	863
NA	166	6190	8479	1079	1316	3182	6052	NA	50	1243	1378
NA	166	3792	4607	706	1086	1914	2337	NA	50	1305	1418
NA	166	3206	3891	1331	1707	1717	3292	NA	50	1269	1628
NA	166	4450	6561	900	1285	2464	3537	NA	50	897	1012
NA	166	2125	3163	528	665	1733	2362	NA	50	496	544
NA	166	4295	6489	1208	2098	2636	4023	NA	50	450	518
NA	166	6165	6838	2714	3409	3217	5157	NA	50	471	723
26358	31775	4756	6173	1186	1976	3861	5902	NA	50	904	1048
16039	17221	2535	3192	1460	1879	2522	2697	NA	50	473	532
20326	23076	2202	2562	1187	1433	3992	4886	NA	50	571	597
52828	59606	7708	8162	2033	2442	5842	8058	NA	50	1196	1418
46580	52268	12247	15039	3137	3761	10002	13604	NA	50	1168	1343
92167	100210	7343	7638	5417	5888	7852	10407	NA	50	1221	1339
45456	57153	5221	8288	4224	5311	NA	3000	NA	50	1566	1907
91137	98338	6368	8439	5533	7280	NA	3000	NA	50	1609	2009
36409	40952	4687	5174	3465	4125	NA	3000	NA	50	1335	1455
35866	47028	5409	7215	1305	2168	NA	3000	NA	50	1222	1431
52738	65520	8681	9957	4578	5306	NA	3000	NA	50	1922	2089
56716	69149	12336	18664	4297	6675	7992	12104	NA	50	759	1006
82796	93121	13922	17731	5259	5863	8287	9317	NA	50	1882	2444
47777	52030	8326	8812	NA	5000	2690	3224	NA	50	1203	1392
16020	20260	3845	7943	2792	3808	2043	4549	NA	50	689	1170
21947	24629	8401	9256	3036	3569	6196	7696	NA	50	1026	1178
NA	4000	NA	4000	NA	500	NA	3000	NA	50	NA	500
NA	4000	NA	4000	NA	500	NA	3000	NA	50	NA	500
