M74[6]	M74[7]	M74[8]	M74[9]	M74[10]	M74[11]	M74[12]	M74[13]	M74[14]	M74[15]	M74[16]	M74[17]	M74[18]	M74[19]	M74[20]	M74[21]	M74[22]	M74[23]	M74[24]	M74[25]	M74[26]	M74[27]	M74[28]	M74[29]	M74[30]	M74[31]	M74[32]	M74[33]	M74[34]	M74[35]	M74[36]	M74[37]
0.757887	0.737817	0.252417	0.373643	0.150598	0.0468919	0.315278	0.109126	0.31442	0.259938	0.0118013	0.00285448	0.0536644	0.114437	0.10592	0.181195	0.159423	0.0250081	0.00817387	0.000604996	0.130163	0.007866	0.00384688	0.286545	0.227577	0.0786684	0.00705958	0.051685	5.35E-05	0.0347381	0.00437664	0.00437664
0.574561	0.632977	0.478289	0.498704	0.231557	0.0750811	0.19867	0.303377	0.366654	0.175201	0.0203805	9.78E-05	0.0488707	0.0705451	0.131417	0.368312	0.210999	0.105141	0.00451952	0.0136508	0.000947181	0.00797988	0.054242	0.0655521	0.0636983	0.247025	0.0108938	0.000100297	0.0365177	0.0232529	0.0821841	0.0821841
0.427775	0.765223	0.367598	0.507216	0.275797	0.0170219	0.309945	0.448874	0.287576	0.143628	0.0404964	0.0165815	0.0636478	0.012852	0.0280608	0.219908	0.404622	0.108077	0.0103957	0.106269	0.000338126	0.0136142	0.0587599	0.0640493	0.11139	0.161636	0.000735075	0.00850734	0.001451	0.00480315	0.0279297	0.0279297
0.227739	0.516728	0.421296	0.645429	0.176411	0.0136171	0.184758	0.255367	0.349666	0.184042	0.0382682	0.0276243	0.0339329	0.110539	0.0701344	0.0468063	0.0687782	0.225142	0.0623105	0.00306372	0.0895861	0.0345918	0.0027164	0.0283381	0.371835	0.00503939	0.0518611	0.000121397	0.0153379	0.0375533	0.0111713	0.0111713
0.326618	0.819107	0.494979	0.355757	0.188149	0.0811179	0.349282	0.269085	0.186326	0.488018	0.00998949	0.00934529	0.0499951	0.0333765	0.111811	0.155348	0.111502	0.0720191	0.0021906	0.0174077	0.00904555	0.0975648	0.017716	0.22664	0.129367	0.0601717	0.0353903	0.00441107	0.221052	0.0483461	0.0274912	0.0274912
0.408307	0.563862	0.477894	0.267538	0.261329	0.0794534	0.310587	0.170358	0.200624	0.185344	0.00967904	0.00516206	0.0478926	0.151919	0.101709	0.0637097	0.047872	0.090059	0.0407896	0.0157649	0.0157525	0.0238121	8.41E-05	0.188625	0.102103	0.0617353	0.0131349	0.018165	0.0964627	0.00133299	0.00203677	0.00203677
0.501372	0.430661	0.425497	0.562535	0.363715	0.0147993	0.678688	0.26023	0.307088	0.107953	0.00777096	0.000196159	0.0120754	0.0250744	0.0378338	0.00366262	0.1148	0.176769	0.0134738	0.083721	0.0866189	0.101938	0.0101115	0.166114	0.115948	0.134194	0.0348664	0.0544861	0.00166968	0.0632599	0.000747919	0.000747919
0.61913	0.613966	0.355246	0.716065	0.254624	0.0419026	0.368124	0.143163	0.101234	0.163499	0.00399748	0.00122037	0.00729675	0.027461	0.0367093	0.0314183	0.282377	0.0754898	0.0678464	0.0308192	0.000317213	0.0516352	0.00184484	0.0662521	0.209838	0.172216	0.00752208	0.000825091	0.00306689	0.00268953	0.061948	0.061948
0.614343	0.631009	0.714912	0.535891	0.128089	0.0447857	0.348777	0.191456	0.156014	0.0648253	0.00141513	0.00269182	0.185769	0.0657961	0.108612	0.0561944	0.0112304	0.0466725	0.0318824	0.00127249	0.00304384	0.297604	0.00519486	0.0913532	0.170125	0.0605511	0.00327931	0.137571	0.0704382	0.0303088	0.0213015	0.0213015
0.657986	0.627418	0.466869	0.455188	0.211903	0.105466	0.245999	0.146394	0.0318271	0.1637	0.0366252	0.0134442	0.10002	0.0711664	0.134761	0.173725	0.0941205	0.202184	0.128823	0.00151664	0.00742517	0.0115243	0.214478	0.358506	0.0669504	0.0230611	0.0113762	0.000177582	0.00163343	0.0528329	0.0516043	0.0516043
0.922579	0.602659	0.492115	0.354256	0.136398	0.00651097	0.606925	0.135967	0.0885749	0.270042	0.0306582	0.0236349	0.0222498	0.0345181	0.127963	0.0940676	0.0520443	0.120493	0.0302221	0.000360091	0.00294751	0.000290452	0.0136385	0.106234	0.200699	0.0212578	0.0790343	5.77E-05	0.0082492	0.055241	0.013383	0.013383
0.633106	0.776249	0.40621	0.622729	0.258172	0.159398	0.551539	0.0177943	0.135968	0.258502	0.00398184	0.0180821	0.0286433	0.0200064	0.0708878	0.103503	0.00405114	0.232033	0.000569479	0.00180614	0.00222748	0.268137	0.000498437	0.133034	0.269518	0.117394	0.00177026	0.0211278	0.00216669	0.0146578	0.0179824	0.0179824
0.672287	0.452862	0.39975	0.35571	0.106582	0.0769961	0.188697	0.164958	0.210701	0.134131	0.00434771	0.00566607	0.0489351	0.0544665	0.216211	0.0714216	0.044443	0.143759	0.00662454	0.0101198	0.00335365	0.026579	0.00230743	0.200297	0.174119	0.0535001	0.0402162	0.0520052	0.00124942	0.0271787	0.0326896	0.0326896
0.52361	0.663957	0.484843	0.233361	0.318978	0.0210389	0.391337	0.187811	0.308154	0.104925	0.0142112	0.0192589	0.00148502	0.0723459	0.0954699	0.0267254	0.169767	0.0542379	0.00104177	0.00765676	0.0476512	0.0464158	0.0146115	0.131437	0.118046	0.0323644	0.000709045	0.00694282	0.0154969	0.0034237	0.000250371	0.000250371
0.405586	0.73968	0.582714	0.177647	0.435267	0.0588702	0.0830511	0.14551	0.0771761	0.101622	0.0285115	0.00125307	0.030267	0.104183	0.292145	0.00998984	0.134632	0.160996	0.0413186	0.0130795	0.000178808	0.104199	0.0237316	0.166921	0.15994	0.0374763	0.043506	0.0113276	0.0572983	0.0051009	0.218352	0.218352
0.572969	0.756079	0.186095	0.215107	0.216869	0.0220847	0.464137	0.293137	0.266128	0.276079	0.0483677	0.0041888	0.0443567	0.0227515	0.116472	0.224361	0.0603308	0.340573	0.102108	0.000367043	0.0320935	0.00332359	0.005786	0.0895637	0.0514212	0.0452344	0.0298972	0.0323796	0.0435117	0.0171571	0.0341645	0.0341645
0.523772	0.609976	0.526872	0.381063	0.527678	0.0463897	0.530144	0.226274	0.11382	0.31645	0.0105616	0.100811	0.0306255	0.158238	0.0786825	0.0872528	0.115616	0.296198	0.074717	0.0449018	0.250322	0.0565052	0.0249503	0.142173	0.196107	0.108316	0.00180692	0.0431972	0.0377627	0.0154724	0.0999334	0.0999334
0.654207	0.657618	0.618484	0.461613	0.232474	0.00653975	0.292665	0.247287	0.305842	0.310622	0.00839469	0.0411696	0.0513679	0.0900509	0.165037	0.225781	0.216535	0.212791	0.0861025	0.000432057	0.00408221	0.0599048	0.0034425	0.0511209	0.20521	0.0710196	0.0208114	0.00130726	0.0306647	0.0549768	0.0239603	0.0239603
0.79587	0.483413	0.296049	0.428201	0.120348	0.0807074	0.287097	0.0833025	0.100213	0.107709	0.036535	0.00156414	0.000380481	0.0978725	0.0302161	0.0470368	0.121723	0.0654697	0.0823663	0.00136785	0.000165117	0.042703	0.0840578	0.00596175	0.5186	0.0519134	0.0187715	0.000959822	0.00290769	0.0625644	0.0609583	0.0609583
0.654827	0.494585	0.472904	0.437438	0.317118	0.0116239	0.381576	0.206705	0.197354	0.321384	0.0184611	0.000125943	0.136628	0.0450266	0.15774	0.010181	0.106214	0.0601564	0.0514949	0.0117517	0.101639	0.035878	0.00970083	0.0480346	0.218518	0.0749183	0.0469768	0.0114723	0.00563961	0.00115694	0.00685202	0.00685202
0.438436	0.779122	0.535627	0.16184	0.363026	0.127056	0.508949	0.128291	0.205647	0.066889	0.023426	0.00832464	0.00112401	0.037038	0.300078	0.0961407	0.135405	0.255973	0.0122341	0.000224796	0.004191	0.00335306	0.000901418	0.0614804	0.171871	0.135851	0.0115782	0.0638349	0.114955	0.103051	0.00429937	0.00429937
0.678999	0.75796	0.343281	0.520291	0.268346	0.0260379	0.105527	0.318532	0.0759496	0.065635	0.00195753	0.00141139	0.00316411	0.0170037	0.0539571	0.115106	0.110708	0.0330357	0.00732941	0.0042264	0.0475411	0.0436474	0.0903489	0.0236901	0.0969506	0.0629109	0.0358788	0.00533557	0.315378	0.184179	0.0533706	0.0533706
0.565708	0.6207	0.416883	0.549458	0.226857	0.0169266	0.259183	0.332162	0.411175	0.372384	0.0214075	0.00125298	0.0459013	0.095968	0.0470865	0.0487082	0.065415	0.205381	0.0864015	0.000155147	0.108872	0.00671037	0.0292424	0.178457	0.144469	0.0385961	0.00719789	0.00226013	0.0523707	0.00470719	0.109274	0.109274
0.64869	0.77517	0.480505	0.633688	0.359155	0.0275667	0.150255	0.388898	0.550111	0.342661	0.0340024	0.0115539	0.00305821	0.134167	0.158413	0.171793	0.0404294	0.122151	0.000249388	0.0649574	0.0330176	0.00372565	0.0148088	0.246246	0.0870747	0.00622849	0.00310909	0.000985423	0.00817554	0.212214	0.007221	0.007221
0.631348	0.74437	0.387548	0.318773	0.181986	0.0162456	0.199929	0.198429	0.127542	0.444819	0.0347613	0.0461521	0.0264668	0.0274043	0.21222	0.0334119	0.0138773	0.164867	0.00320736	0.0189569	0.0211929	0.0331233	0.180426	0.0853087	0.0452316	0.0126444	0.0111053	0.00160406	0.00067383	0.013704	0.00126089	0.00126089
0.467504	0.474625	0.637686	0.303331	0.303846	0.0807229	0.209201	0.271679	0.479424	0.184457	0.0135917	0.00895769	0.00308712	0.113721	0.0533605	0.0347897	0.0689375	0.126251	0.0164456	0.143055	0.00247268	0.0251463	0.0379312	0.0150072	0.329806	0.0165134	0.0356641	0.0236109	0.131953	0.00244233	0.000491306	0.000491306
0.71828	0.710501	0.627983	0.549935	0.353926	0.0879077	0.177979	0.416224	0.317029	0.0825699	0.02783	0.000326726	0.045044	0.124675	0.0210841	0.0223043	0.0616261	0.0168001	0.036892	0.0538134	0.0303673	0.0170307	0.000857418	0.135412	0.142208	0.023937	0.00441497	0.0409352	0.0499284	0.0439874	0.000116109	0.000116109
0.574745	0.639077	0.181972	0.367342	0.472725	0.0444391	0.431264	0.14321	0.41122	0.245117	0.00374481	0.0744066	0.00985061	0.0874666	0.112725	0.189633	0.105481	0.229711	0.0285667	0.00138035	0.000880824	0.0398055	0.00670053	0.265339	0.0518771	0.0729309	0.00578476	0.00243208	0.0981215	0.0478758	0.0198937	0.0198937
0.318834	0.692462	0.479963	0.469651	0.470819	0.0510023	0.260369	0.16972	0.0875264	0.156234	0.011624	0.000424457	0.00149056	0.15128	0.16937	0.276269	0.0760374	0.234712	0.00967295	0.0370216	0.0422146	0.012532	0.0138114	0.136581	0.323234	0.100474	0.000433654	0.0179106	0.111503	0.137019	0.0899158	0.0899158
0.496851	0.767612	0.654181	0.368958	0.399934	0.0694505	0.25928	0.312954	0.143013	0.549217	0.0111	0.0354678	0.0561133	0.0801109	0.135605	0.0421294	0.0324245	0.278059	0.0439611	0.0012359	0.0324123	0.078521	0.0845501	0.247905	0.123348	0.0132948	0.000367248	0.019773	0.000171042	0.0335507	0.0248442	0.0248442
