#Annual proportions of females among MSW spawning salmon in Ume-/Vindelälven, updated 2025-01-30				
#Note, 2025 value is an expert opinion based on the average MSW sex ratio from last five years (2020-2024)			
#Note that the whole time series was updated in 2022 due to a change in how to handle female grilse				
1987	0.45			
1988	0.70			
1989	0.65			
1990	0.64			
1991	0.83			
1992	0.81			
1993	0.62			
1994	0.73			
1995	0.40			
1996	0.73			
1997	0.66			
1998	0.52			
1999	0.50			
2000	0.64			
2001	0.69			
2002	0.67			
2003	0.59			
2004	0.39			
2005	0.60			
2006	0.63			
2007	0.49			
2008	0.67			
2009	0.67			
2010	0.51			
2011	0.38			
2012	0.30			
2013	0.51			
2014	0.34			
2015	0.28			
2016	0.65			
2017	0.35			
2018	0.26			
2019	0.35			
2020	0.42			
2021	0.52			
2022	0.53			
2023	0.58			
2024	0.50			
2025	0.51			
