mu_ParrT[]	tau_ParrT[]	mu_SmoltT[]	mu_ParrS[]	tau_ParrS[]	mu_SmoltS[]
4.060	11.943	32.129	1.367	7.971	14.800
3.332	14.665	11.300	1.927	7.954	14.700
4.450	10.416	1.829	1.937	9.341	52.841
2.731	17.684	85.545	2.731	9.957	26.100
3.872	20.857	40.344	2.655	11.318	60.916
3.704	13.736	15.000	2.497	10.127	4.389
3.589	22.575	29.342	2.499	10.381	5.087
3.515	20.261	17.317	2.434	9.063	14.862
3.951	13.660	61.986	2.750	8.720	68.580
4.093	23.323	39.858	3.817	8.180	140.153
4.116	18.731	20.004	2.895	8.055	144.939
4.304	25.187	60.033	2.905	8.429	75.942
4.927	42.183	60.771	2.171	10.930	66.815
4.629	43.900	60.339	3.038	14.914	50.100
4.331	49.129	4.000	2.116	19.519	49.111
3.953	90.532	3.998	2.771	20.131	51.300
3.632	44.663	4.032	2.623	18.876	18.912
2.575	46.951	4.000	2.389	18.258	1.900
-0.948	57.157	4.000	0.88	22.24	4.800
0.000	0.000	3.814	0.76	20.98	0.809
0.000	0.000	8.458	-1.07	29.33	8.000
0.000	0.000	6.442	0.00	0.00	4.000
0.000	0.000	4.490	0.00	0.00	1.000
0.000	0.000	4.965	0.00	0.00	23.240
0.000	0.000	3.073	0.00	0.00	0.000
0.000	0.000	4.437	0.00	0.00	0.000
0.000	0.000	5.300	0.00	0.00	0.500
0.765	69.943	4.800	0.00	0.00	0.000
-0.511	69.943	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
0.000	0.000	0.000	0.00	0.00	0.000
