LuleRProp	LuleTrapTot	LuleCatchR	DalRProp	DalTrapTot	DalCatchR
0.5	NA	0	0.5	NA	0
0.61	NA	0	0.5	NA	0
0.68	NA	0	0.5	NA	0
0.66	NA	0	0.5	NA	0
0.7	NA	0	0.5	NA	0
0.69	NA	0	0.5	NA	0
0.66	NA	0	0.5	NA	0
0.73	NA	0	0.5	NA	0
0.79	NA	0	0.5	NA	0
0.74	3830	3319	0.5	NA	0
0.7	4581	4915	0.5	NA	0
0.7	NA	0	0.5	NA	0
0.7	NA	0	0.21	NA	0
0.69	NA	0	0.18	NA	0
0.72	3696	6970	0.19	NA	0
0.68	NA	0	0.15	NA	0
0.73	NA	0	0.17	NA	0
0.71	NA	0	0.21	876	0
0.7	NA	0	0.16	837	0
0.79	NA	0	0.19	484	0
0.71	NA	0	0.18	1188	0
0.7	NA	0	0.21	2343	0
0.66	NA	0	0.18	2521	0
0.71	NA	0	0.17	1543	0
0.69	NA	0	0.22	NA	0
0.5	NA	0	0.18	3383	0
0.5	NA	0	0.2	1697	0
0.5	NA	0	0.17	NA	0
0.72	NA	0	0.19	NA	0
0.72	NA	0	0.19	NA	0
0.72	NA	0	0.19	NA	0
0.72	NA	0	0.19	NA	0
0.72	NA	0	0.19	NA	0
0.72	NA	0	0.19	NA	0
0.72	NA	0	0.19	NA	0
0.72	NA	0	0.19	NA	0
0.72	NA	0	0.19	NA	0
0.72	NA	0	0.19	NA	0
