# Proportion of wild in main basin catch samples by smolting year
# 2SW and 3SW
WpropObs[,1]	sd_wr[,1]	WpropObs[,2]	sd_wr[,2]
NA	0.2	NA	0.2	
NA	0.2	NA	0.2	
NA	0.2	NA	0.2	
NA	0.2	NA	0.2	
NA	0.2	NA	0.2	
NA	0.2	NA	0.2	
NA	0.2	0.1832	0.05565	
0.3811	0.03564	NA	0.2	
NA	0.2	0.2069	0.1574	
0.4117	0.1107	NA	0.2	
NA	0.2	NA	0.2	
NA	0.2	0.6863	0.1978	
0.3692	0.1844	0.09399	0.1208	
0.41	0.1243	0.4392	0.04365	
0.492	0.03348	0.4116	0.03947	
0.5328	0.02799	0.6109	0.0459	
0.5894	0.03529	0.5791	0.04284	
0.5666	0.06167	0.763	0.0326	
0.4837	0.03974	0.7028	0.05789	
0.6375	0.03067	0.7091	0.05137	
0.5061	0.03959	0.7822	0.05963	
0.6696	0.03418	0.7605	0.03043	
0.6438	0.02842	0.7066	0.0305	
0.435	0.02669	0.6675	0.02919	
0.596	0.02234	0.6652	0.03483	
0.698	0.02831	0.7883	0.02996	
0.7208	0.02628	0.7632	0.07943	
0.7063	0.0282	0.9255	0.09791	
0.5483	0.07853	0.7856	0.0655	
0.4485	0.03947	0.647	0.07482	
0.6452	0.0331	NA	0.2	
NA	0.2	0.5381	0.08734	
0.6124	0.04447	NA	0.2	
NA	0.2	0.7167	0.1459	
0.4833	0.1419	0.9061	0.07357	
0.6899	0.05032	NA	0.2	#2022 smolt cohort
NA	0.2	NA	0.2	
NA	0.2	NA	0.2	
NA	0.2	NA	0.2	
NA	0.2	NA	0.2	


