# T 4.2.1.1 Young fish data base			
# Table 3.4.1 Releases SAL_modified.xls			
# RearedSimo&Torne.xls			
# Note that Torne & Simo Rsp- salmon in history is substracted from these so that those are not accounted for twice.				
SmoltRdata[,1]	SmoltRdata[,2]	SmoltRdata[,3]	SmoltRdata[,4]
1254	1267	1484	317
1677	901	1437	323
1343	771	1492	509
999	821	1261	435
1062	809	1148	407
1254	816	1242	337
1188	901	1185	548
1087	804	1083	246
1310	698	794	87
1215	711	1311	76
1269	786	1257	167
1393	803	1303	35
1414	784	1104	35
1569	693	1284	84
1577	800	1215	9
1485	802	1161	7
1338	758	1218	19
1535	748	1067	19
1196	779	1414	23
1434	685	1227	28
1390	780	1122	31
1330	867	1275	8
1177	795	1322	17
1137	830	1207	20
1186	843	1078	11
1150	744	1207	9
1158	709	1166	18
1130	782	1016	18
1082	725	1034	16
1063	859	1047	12
1302	733	975	18
1265	707	900	18
1155	737	824	12
1119	722	984	22
1200	820	997	20
1090	833	896	23
916	795	960	10
1159	691	622	10
1159	691	622	10
