mu_SmoltW[,1]	tau_SmoltW[,1]	mu_SmoltW[,2]	tau_SmoltW[,2]	mu_SmoltW[,3]	tau_SmoltW[,3]	mu_SmoltW[,4]	tau_SmoltW[,4]	mu_SmoltW[,5]	tau_SmoltW[,5]	mu_SmoltW[,6]	tau_SmoltW[,6]	mu_SmoltW[,7]	tau_SmoltW[,7]	mu_SmoltW[,8]	tau_SmoltW[,8]	mu_SmoltW[,9]	tau_SmoltW[,9]	mu_SmoltW[,10]	tau_SmoltW[,10]	mu_SmoltW[,11]	tau_SmoltW[,11]	mu_SmoltW[,12]	tau_SmoltW[,12]	mu_SmoltW[,13]	tau_SmoltW[,13]	mu_SmoltW[,14]	tau_SmoltW[,14]	mu_SmoltW[,15]	tau_SmoltW[,15]	mu_SmoltW[,16]	tau_SmoltW[,16]	mu_SmoltW[,17]	tau_SmoltW[,17]
4.252926125	10.781409059	0.729756313	7.641264029	5.186371325	1.290220549	3.280967605	0.583637834	0.440832252	1.442695041	-0.153109805	0.657102752	2.993241675	1.471207721	0.40320255	0.598432204	0.54815031	0.732445676	4.245866612	1.495088874	0.166822904	0.622953964	-0.851856904	0.544958472	1.111126094	0.420821408	2.205934	0.672759698	1.088513314	0.419184357	-10	10	-10	10
4.439975326	13.405635766	0.536698028	7.437753239	4.702251524	1.43816353	2.906409136	0.526577813	0.489806257	1.442695041	-0.258317464	0.60500924	2.729942148	1.578205621	-0.263496255	0.558937777	0.162263397	0.692329602	3.848455799	1.207928178	-0.819489619	0.533197964	-1.693746581	0.409867612	1.102146897	0.410640267	2.204161021	0.696150552	1.082096413	0.407791763	-10	10	-10	10
4.384414407	8.457023239	2.385298078	8.24224292	4.578867278	1.772060983	2.757208551	0.581371628	0.610851938	1.442695041	-0.658992161	0.57707492	2.592066795	1.540661443	-0.790332317	0.546909397	-0.024807169	0.696519079	3.986907865	1.178039973	-1.979295799	0.430121945	-2.593440863	0.354481679	1.642579073	0.535183555	3.884140175	2.19313725	-0.709918021	0.230524617	-10	10	-10	10
4.418720721	15.50577084	2.396539809	8.383528643	4.327785579	2.329814493	2.085191852	0.561866211	0.607589292	1.442695041	-0.766212619	0.549407487	2.39005095	1.61536289	-1.741119588	0.444794761	-0.315640629	0.639347474	4.058574283	1.491932156	-3.252592911	0.365209588	-1.844211329	0.459504662	1.417884563	0.822806612	4.106576057	2.364009936	-1.725111146	0.159358669	-10	10	-10	10
4.542842552	17.330688035	1.988159239	8.542551893	4.944894272	2.113289859	2.143809736	0.594438415	0.607589292	1.442695041	-0.507269454	0.58214489	2.566217783	1.597757409	-2.18243597	0.418859892	-0.260069499	0.624507803	4.040862383	2.040566386	-4.048868455	0.321646021	-1.796683573	0.433375477	0.680149651	0.566501032	3.822733657	3.04381575	-1.809602845	0.152924844	-10	10	-10	10
4.607856574	10.800675941	2.680171853	8.40532661	4.613202838	2.477087298	2.019820908	0.756725676	0.401457087	8116.463293	-0.163995313	0.345544158	2.722406652	1.792796614	-2.642525838	0.401540274	-0.172112448	0.71276291	3.781367018	1.530295174	-2.530989961	0.381508356	-1.913120649	0.465186359	0.990387282	0.831125963	4.164831341	2.715138022	-1.586073271	0.142242487	-10	10	-10	10
4.933937818	19.296490418	2.282819535	8.801902166	5.187841009	2.362829625	1.912213749	0.939129654	0.12751332	13421.59159	0.605077972	0.886668967	3.663575749	1.996587839	-2.980024292	0.359160629	-0.441966761	0.604002472	3.623165042	1.75618757	-2.373186221	0.407338229	-1.053338299	0.503115569	0.992919835	0.377489874	3.494507145	3.017187341	0.082742342	0.237524744	-10	10	-10	10
5.45399973	19.741134184	2.438784174	8.253836685	4.633524379	2.295449233	1.788718183	1.11782929	0.231111721	11689.74888	0.966934415	1.043022542	3.121944131	1.83225254	-2.899023981	0.374011492	-0.968954702	0.545056534	3.495475969	2.509541162	-3.323862799	0.341922399	-0.929305052	0.594013436	1.048255337	0.296373526	2.95716846	2.195044232	0.116939575	0.316330927	-10	10	-10	10
5.058390002	12.125238651	0.516529327	7.583022021	4.644712963	2.413433975	0.658061307	0.76765564	0.155292884	13335.82737	0.031251544	0.734063762	3.059082589	1.976407062	-1.808297471	0.45930058	-0.848516436	0.547501012	3.156477306	2.888871279	-4.217417691	0.324566687	-1.409468827	0.489504735	0.536603833	0.472336718	2.640537098	1.819476839	-0.194718638	0.27949219	-10	10	-10	10
4.676788275	18.972936718	0.366648047	7.439357614	4.535257249	2.184510786	0.437822579	0.8259446	NA	1	-0.124576748	0.711405749	2.99167656	1.964329072	-2.160955331	0.429097775	-1.043980648	0.517123392	2.600338219	2.06509727	-4.038854039	0.316164956	-0.488151307	0.628776467	0.752949756	0.690825322	3.257715532	1.634124537	0.302980133	0.326206473	-10	10	-10	10
4.603160668	15.796260083	0.954458968	7.621273041	4.182235622	2.361764763	0.862041494	0.982215699	NA	1	0.358698395	0.83338249	3.063640891	2.000282634	-2.11482419	0.442947009	-0.970572698	0.492432034	2.752851627	2.370466782	-3.932674793	0.345794388	-0.748029011	0.55104347	0.555941564	0.658201562	3.418430623	2.921824462	0.38229452	0.352357839	-10	10	-10	10
4.946039882	21.421644573	2.160976021	8.045412638	4.6939866	2.374391615	1.837945452	1.379829135	NA	1	0.621390672	0.958449849	3.622842478	1.979966349	-1.870620875	0.444639703	0.092383173	0.776858771	3.026676766	3.133877409	-1.391168219	0.488467585	0.216292134	0.780238076	1.104307774	0.983911499	3.378692854	2.932771893	0.714369505	0.378863225	-10	10	-10	10
5.349005728	39.470219633	2.30737361	9.198884236	5.567307707	1.782465598	2.485685513	1.514760302	NA	1	0.238946032	0.813718385	3.988218939	2.142796016	-1.743326512	0.469954054	-0.042425363	0.742117052	4.622323474	3.489831298	-0.985908799	0.523162953	0.562921746	0.911100655	1.043673939	0.391226865	3.72954515	2.967058864	0.75360222	0.419702816	-10	10	-10	10
6.521532347	42.119938533	3.737083732	11.408626794	5.867156205	2.602291603	3.005274105	1.915830966	NA	1	1.033775056	1.121988897	4.292403441	2.485165818	-1.293407114	0.43755423	0.206229309	0.812997986	5.489743909	4.844139421	-0.526402144	0.607199543	0.820887148	0.979801226	1.194175614	0.780486226	3.706997158	3.166495293	0.132685	0.369423198	-10	10	0.030936568	0.278747726
6.837252876	50.137440941	3.819692781	14.069991129	5.880104124	2.737109317	3.093063138	2.006371715	NA	1	1.405163955	1.391141765	4.39953865	2.534376953	-0.427992198	0.608536308	0.189892822	0.806465323	5.189571405	4.205467432	-0.174810039	0.670219354	1.174895631	1.167545381	0.851737235	0.785142513	3.531385942	3.06776747	-0.159851076	0.313809208	-10	10	0.398632199	0.321962071
6.474825445	93.37664287	3.821382506	13.146229719	5.79141477	2.748136427	2.884543697	1.809225751	NA	1	1.041371518	1.121485443	4.166142607	2.491200502	-0.352155885	0.619443872	0.461117388	0.809459498	5.180807653	5.756298955	0.120933623	0.678531844	0.962462232	1.055396208	0.888538636	0.345473628	3.42864063	3.277937586	0.297116969	0.342877942	-10	10	0.105373512	0.352059619
6.509271246	45.738873059	3.843346869	12.234764287	5.633066691	2.700018089	2.52243924	1.736799412	NA	1	0.481601735	0.905761936	3.991284177	2.528660382	-0.16557772	0.665891814	0.636960353	0.968674609	5.206843867	5.261289912	0.505340609	0.737193851	0.756502189	0.935960229	1.44453494	0.941856549	3.398358224	2.729434521	0.533580316	0.386191211	-10	10	0.459831768	0.400810066
