Year	Rane	Aby	Byske	Rickle	Ore
1987	NA	NA	NA	NA	13
1988	NA	NA	NA	NA	23
1989	NA	NA	NA	NA	13
1990	NA	NA	NA	NA	65
1991	NA	NA	NA	NA	51
1992	NA	NA	NA	NA	63
1993	NA	NA	227	NA	54
1994	NA	NA	258	NA	39
1995	NA	NA	786	NA	18
1996	NA	1	2691	NA	24
1997	NA	39	1386	NA	51
1998	NA	15	786	NA	30
1999	NA	14	721	NA	52
2000	NA	31	1157	NA	NA
2001	NA	95	2085	NA	NA
2002	NA	81	1316	17	NA
2003	NA	18	1086	0	NA
2004	NA	43	1707	2	NA
2005	NA	80	1285	1	NA
2006	NA	27	665	6	NA
2007	NA	93	2098	7	NA
2008	NA	181	3409	5	NA
2009	NA	185	1976	0	NA
2010	NA	47	1879	0	NA
2011	NA	36	1433	0	NA
2012	NA	88	2442	0	NA
2013	NA	113	3761	0	NA
2014	NA	94	5888	27	NA
2015	NA	80	5311	13	NA
2016	1454	155	7280	17	NA
2017	1781	108	4125	15	NA
2018	4184	113	2168	36	NA
2019	2132	93	5306	55	NA
2020	2461	55	6675	57	NA
2021	NA	24	5863	19	NA
2022	NA	133	2911	24	NA
2023	NA	74	3808	26	NA
2024	NA	169	3569	29	NA 
