Year	Aby	Byske	Rickle	Ore
1987	NA	NA	NA	13
1988	NA	NA	NA	23
1989	NA	NA	NA	13
1990	NA	NA	NA	65
1991	NA	NA	NA	51
1992	NA	NA	NA	63
1993	NA	227	NA	54
1994	NA	258	NA	39
1995	NA	786	NA	18
1996	1	2691	NA	24
1997	39	1386	NA	51
1998	15	786	NA	30
1999	14	721	NA	52
2000	31	1157	NA	NA
2001	95	2085	NA	NA
2002	81	1316	17	NA
2003	18	1086	0	NA
2004	43	1707	2	NA
2005	80	1285	1	NA
2006	27	665	6	NA
2007	93	2098	7	NA
2008	181	3409	5	NA
2009	185	1976	0	NA
2010	47	1879	0	NA
2011	36	1433	0	NA
2012	88	2442	0	NA
2013	113	3761	0	NA
2014	94	5888	27	NA
2015	80	5311	13	NA
2016	155	7280	17	NA
2017	108	4125	15	NA
2018	113	2168	36	NA
2019	93	5306	55	NA
2020	55	6675	57	NA
2021	24	5863	19	NA
2022	133	2911	24	NA
2023	74	3808	26	NA
