muTemp[]	tauTemp[]
4.266	1.043787469
4.266	1.043787469
4.266	1.043787469
4.266	1.043787469
4.266	1.043787469
4.869	72.3078347
4.098	111.2478706
3.354	65.0364204
4.373	118.3789457
2.387	22.37639058
3.689	57.21858185
4.609	86.21217333
3.83	164.6187111
4.691	41.09138725
4.482	83.85997397
4.343	69.21354038
3.085	44.26719858
4.213	68.18859055
4.077	61.4184216
3.037	52.96958063
5.434	26.6802131
5.233	100.9263872
4.449	119.8610245
2.789	45.16418083
2.256	23.98217261
4.38	41.46265314
2.989	32.80284571
4.652	33.72358263
5.253	81.7503736
5.173	50.58588573
4.515	75.09108549
4.201	28.17333135
4.912	94.99599117
6.226	46.21411647
4.926	46.08870509
5.005	94.44288614
5.184	44.0910109
4.332	72.06251567
4.484	2.013684638
4.266	1.043787469
4.266	1.043787469
4.266	1.043787469
4.266	1.043787469
4.266	1.043787469
