alpha_migr[]	beta_migr[]
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
11.259704251024	11.259704251024
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
11.259704251024	11.259704251024
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
10000	10
4.92100412716583	2.30700137572194
11.259704251024	11.259704251024
4.92100412716583	2.30700137572194
4.87711202813794	12.6313360844138
11.259704251024	11.259704251024
12.8000448214381	2.3111160912709
12.8000448214381	2.3111160912709
10000	10
10000	10
10000	10
10000	10
