"cc_ObsR[,1,1]"	"cc_ObsR[,2,1]"	"cc_ObsR[,3,1]"	"cc_ObsR[,4,1]"	"cc_ObsR[,5,1]"	"cc_ObsR[,6,1]"	"cc_ObsR[,1,2]"	"cc_ObsR[,2,2]"	"cc_ObsR[,3,2]"	"cc_ObsR[,4,2]"	"cc_ObsR[,5,2]"	"cc_ObsR[,6,2]"	"cc_ObsR[,1,3]"	"cc_ObsR[,2,3]"	"cc_ObsR[,3,3]"	"cc_ObsR[,4,3]"	"cc_ObsR[,5,3]"	"cc_ObsR[,6,3]"
6	156	103	24	1	1	9	66	44	15	3	0	47	76	120	37	7	1
73	623	473	93	5	0	13	313	221	72	3	0	62	594	697	237	12	1
13	266	244	40	3	1	12	125	155	20	1	0	44	334	427	157	7	0
5	120	192	29	2	7	8	81	165	32	4	0	59	259	521	91	7	4
9	310	142	38	2	0	8	222	97	20	4	0	69	907	351	92	5	1
6	158	62	11	0	0	4	98	83	16	1	1	44	436	381	75	11	4
3	22	30	7	2	0	6	29	49	9	2	3	41	419	164	52	8	8
2	121	93	38	5	0	6	155	161	76	8	4	39	425	458	110	8	0
3	66	74	34	0	0	9	72	77	38	6	2	6	95	98	64	1	1
2	83	52	12	3	2	5	68	56	10	3	2	13	47	83	13	0	4
1	95	32	22	7	0	4	138	65	16	0	0	6	90	30	12	6	0
6	41	23	16	1	0	6	85	32	12	0	0	11	69	36	1	2	3
1	65	53	5	0	1	5	36	31	9	0	0	19	42	29	6	6	0
0	107	64	7	0	0	3	38	33	5	0	0	16	33	51	0	4	0
0	42	7	1	0	0	3	58	19	8	1	0	7	22	12	5	0	0
0	44	25	8	0	0	6	84	42	5	7	0	8	49	22	8	0	0
0	61	36	10	5	0	9	63	29	14	4	0	9	52	30	5	9	0
1	32	12	8	0	0	4	26	6	5	0	0	10	37	11	2	0	0
4	11	11	0	0	NA	3	14	12	0	0	NA	8	9	10	0	0	NA
6	13	9	2	NA	NA	2	22	11	1	NA	NA	2	18	12	2	NA	NA
0	28	14	NA	NA	NA	0	19	11	NA	NA	NA	0	11	19	NA	NA	NA
0	5	NA	NA	NA	NA	0	11	NA	NA	NA	NA	2	20	NA	NA	NA	NA
0	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
