"cc_ObsW[,1,1]"	"cc_ObsW[,2,1]"	"cc_ObsW[,3,1]"	"cc_ObsW[,4,1]"	"cc_ObsW[,5,1]"	"cc_ObsW[,6,1]"
0	1	6	0	0	0
1	18	33	9	1	0
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
2	90	55	9	0	0
0	8	4	1	0	0
0	1	3	3	1	0
1	16	21	7	0	0
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
0	3	4	0	0	0
0	12	12	1	1	0
1	14	0	6	0	0
0	4	7	6	5	0
0	15	14	18	0	0
0	11	31	2	4	0
0	11	8	3	0	0
1	1	3	4	0	NA
0	3	9	0	NA	NA
0	6	11	NA	NA	NA
0	4	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
