"ccd_ObsR[,1]"	"ccd_ObsR[,2]"	"ccd_ObsR[,3]"	"ccd_ObsR[,4]"	"ccd_ObsR[,5]"	"ccd_ObsR[,6]"
NA	0	3	30	6	0
NA	2	25	111	12	5
NA	4	6	92	22	1
NA	1	10	47	4	0
NA	1	51	70	17	0
NA	0	29	134	1	0
NA	11	33	15	2	0
NA	2	7	5	3	2
NA	0	2	8	1	0
NA	0	2	2	0	0
NA	0	1	1	3	0
NA	0	1	9	0	0
NA	0	2	5	0	0
NA	0	15	1	1	0
NA	0	0	6	0	0
NA	0	1	8	1	1
NA	0	4	7	0	1
NA	0	0	0	0	NA
NA	0	0	0	NA	NA
NA	0	0	NA	NA	NA
NA	0	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
