"ccd_ObsW[,1]"	"ccd_ObsW[,2]"	"ccd_ObsW[,3]"	"ccd_ObsW[,4]"	"ccd_ObsW[,5]"	"ccd_ObsW[,6]"
NA	0	0	0	0	0
NA	0	0	7	1	0
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	0	1	7	4	0
NA	0	0	0	0	0
NA	0	0	0	0	0
NA	0	0	0	0	0
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	0	0	0	0	0
NA	0	0	0	0	0
NA	0	0	0	0	0
NA	0	0	1	1	0
NA	0	0	0	0	0
NA	0	2	2	1	0
NA	0	0	0	0	NA
NA	0	0	0	NA	NA
NA	0	0	NA	NA	NA
NA	0	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
