"cd_ObsR[,1]"	"cd_ObsR[,2]"	"cd_ObsR[,3]"	"cd_ObsR[,4]"	"cd_ObsR[,5]"
74	2009	461	16	23
183	4435	600	148	85
102	2155	471	81	15
98	1545	462	42	8
189	2818	387	17	20
231	1897	322	124	31
65	1224	254	41	58
62	1436	334	112	131
34	1242	430	151	26
26	904	337	39	17
43	1403	373	18	38
32	754	89	9	10
37	556	72	24	1
18	365	78	22	20
1	151	55	2	0
12	531	43	27	4
36	324	80	10	19
12	144	8	0	NA
14	88	12	NA	NA
6	29	NA	NA	NA
2	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
