"cd_ObsW[,1]"	"cd_ObsW[,2]"	"cd_ObsW[,3]"	"cd_ObsW[,4]"	"cd_ObsW[,5]"
0	9	6	0	0
1	90	14	3	1
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
3	166	32	3	0
3	20	0	0	0
1	23	9	0	0
4	81	9	5	10
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
1	15	7	0	4
1	93	5	5	0
0	29	8	0	0
1	41	21	1	3
0	100	16	14	0
7	125	45	0	1
1	64	0	1	NA
1	17	0	NA	NA
1	2	NA	NA	NA
1	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
