"cl_ObsR[,1]"	"cl_ObsR[,2]"	"cl_ObsR[,3]"	"cl_ObsR[,4]"	"cl_ObsR[,5]"
38	286	57	9	2
64	601	156	18	34
21	421	101	27	0
16	126	74	0	2
9	249	93	18	0
26	318	53	34	4
27	102	46	18	5
18	343	219	15	5
23	480	129	14	6
4	143	63	4	3
14	388	107	1	0
28	218	80	0	3
0	146	10	3	0
8	87	103	8	0
3	299	34	0	0
23	237	89	1	0
0	283	66	2	0
10	90	22	0	0
2	96	0	6	6
7	6	6	0	NA
4	22	4	NA	NA
3	21	NA	NA	NA
3	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
