"cl_ObsW[,1]"	"cl_ObsW[,2]"	"cl_ObsW[,3]"	"cl_ObsW[,4]"	"cl_ObsW[,5]"
0	0	0	0	1
0	7	2	1	0
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
1	28	0	1	0
1	13	0	0	0
1	0	1	0	0
0	32	0	0	2
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
1	3	11	0	0
0	24	0	0	0
0	0	20	4	0
2	60	8	3	1
0	45	37	0	1
0	55	35	0	1
0	24	15	0	1
0	5	0	0	2
0	2	3	0	NA
0	3	3	NA	NA
0	11	NA	NA	NA
1	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
