"cr_ObsR[,1]"	"cr_ObsR[,2]"	"cr_ObsR[,3]"	"cr_ObsR[,4]"	"cr_ObsR[,5]"	"cr_ObsR[,6]"
29	77	30	16	0	1
12	369	115	53	4	0
18	214	99	62	1	1
24	186	123	30	2	1
24	196	89	31	1	0
14	158	68	45	0	1
9	28	66	15	4	0
6	170	103	67	1	1
4	100	101	54	3	4
5	97	36	26	5	2
2	120	62	22	0	0
3	118	62	5	0	0
4	98	52	5	0	0
7	138	74	20	8	0
4	72	32	8	1	0
4	97	42	17	0	0
4	92	38	13	0	0
6	66	8	15	1	0
3	43	17	3	0	NA
4	46	36	4	NA	NA
1	57	32	NA	NA	NA
2	36	NA	NA	NA	NA
1	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
