"cr_ObsRsp[,1]"	"cr_ObsRsp[,2]"	"cr_ObsRsp[,3]"	"cr_ObsRsp[,4]"	"cr_ObsRsp[,5]"	"cr_ObsRsp[,6]"
1	1	9	9	0	0
0	26	24	7	0	0
2	17	6	5	0	0
0	101	101	34	0	0
6	12	8	2	0	0
14	7	2	4	0	0
0	2	3	3	0	0
9	24	20	25	0	0
1	6	33	9	1	0
10	10	11	3	0	0
11	16	12	13	0	0
2	3	4	8	1	0
3	34	2	4	0	0
0	10	14	1	0	0
2	4	3	0	1	0
0	1	2	0	0	0
4	11	11	0	6	0
2	13	1	0	0	0
0	0	1	1	0	NA
0	0	4	0	NA	NA
0	19	2	NA	NA	NA
0	5	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
