"cr_ObsW[,1]"	"cr_ObsW[,2]"	"cr_ObsW[,3]"	"cr_ObsW[,4]"	"cr_ObsW[,5]"	"cr_ObsW[,6]"
0	0	0	0	0	0
1	0	0	0	0	0
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
0	1	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1	3	3	0	1
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
0	2	2	0	0	0
0	2	2	0	0	0
0	4	1	2	0	0
0	0	5	0	0	0
0	2	0	2	0	0
0	5	7	4	1	0
0	8	4	1	0	0
0	0	0	0	0	NA
0	3	4	1	NA	NA
0	1	4	NA	NA	NA
0	0	NA	NA	NA	NA
0	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
