year	alpha_mort	beta_mort
1987	10000	10
1988	10000	10
1989	10000	10
1990	10000	10
1991	10000	10
1992	10000	10
1993	10000	10
1994	10000	10
1995	10000	10
1996	10000	10
1997	10000	10
1998	10000	10
1999	10000	10
2000	10000	10
2001	10000	10
2002	10000	10
2003	10000	10
2004	10000	10
2005	10000	10
2006	10000	10
2007	10000	10
2008	10000	10
2009	10000	10
2010	10000	10
2011	10000	10
2012	10000	10
2013	10000	10
2014	10000	10
2015	10000	10
2016	10000	10
2017	10000	10
2018	10000	10
2019	10000	10
2020	10000	10
2021	10000	10
2022	4	12
2023	4	12
2024	4	12
2025	4	12
2026	4	12
2027	4	12
2028	4	12
2029	4	12
2030	4	12

