	Torne	Simo	Kalix	Rane	Pite	Aby	Byske	Rickle	Savaran	Ume	Ore	Logde	Ljungan	Morrum	Eman	Kage	Test
1987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1990	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
1999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2005	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1
2009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1
2010	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1
2011	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1
2012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1
2013	1	1	1	1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2014	1	1	1	1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2015	1	1	1	1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2016	1	1	1	1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2017	1	1	1	1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2018	1	1	1	1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2019	1	1	1	1	1	1	1	1	0.1	0.1	1	1	0.1	1	0.1	0.1	0.1
2020	1	1	1	1	1	1	1	1	0.1	0.1	1	1	0.1	1	0.1	0.1	0.1
2021	1	1	1	1	1	1	1	1	0.1	0.1	1	1	0.1	1	0.1	0.1	0.1
2022	1	1	1	1	1	0.1	1	1	0.1	0.1	1	1	0.1	1	0.1	0.1	0.1
2023	1	1	1	1	1	1	1	1	0.1	0.1	1	1	0.1	1	0.1	0.1	0.1
2024	1	1	1	0.1	1	1	1	1	0.1	0.1	1	1	0.1	1	0.1	0.1	0.1
2025	1	1	1	0.1	1	1	1	1	0.1	1	1	1	0.1	1	0.1	0.1	0.1
2026	1	1	1	0.1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2027	1	1	1	0.1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2028	1	1	1	0.1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2029	1	1	1	0.1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
2030	1	1	1	0.1	1	1	1	1	0.1	1	1	1	1	1	0.1	0.1	0.1
