#Didson counts in Torne and Simo
# NOTE! IN THIS FILE ONLY MSW SALMON ARE TAKEN INTO ACCOUNT FOR SIMO																
# Annual total number of salmon observed in Kalix and Ume fish counters																
# In addition to Data_Fishladder-file, this is needed because																
# in the other file unknown totals are not NA's. 																
# (the same data is not used twice since this focuses on the abundance and the other on 1SW/MSW structure among the ascending salmon)																
# Ume is taken into account 1992 (index 6) onwards.		# Ume/Vindel 2015 to 2019.  Numbers are adjusted to account for high grilse proportion (temporary fix, to be changed later).														
# They are MSW divided by one minus the average grilse proportion in Torne and Kalix for the years in question.																
# Testeboan spawner numbers have been adjusted for non-detection in some years.																
Tornionjoki	Simojoki	Kalixalven	Ranealven	Pitealven	Abyalven	Byskealven	Ricklean	Savaran	Vindelalven	Orealven	Logdealven	Ljungan	Morrumsan	Eman	Kagealven	Testeboan
NA	NA	NA	NA	18	NA	NA	NA	NA	246	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	28	NA	NA	NA	NA	446	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	19	NA	NA	NA	NA	597	NA	NA	NA	NA	NA	NA	NA
NA	NA	639	NA	130	NA	NA	NA	NA	1572	NA	NA	NA	NA	NA	NA	NA
NA	NA	437	NA	59	NA	NA	NA	NA	356	NA	NA	NA	NA	NA	NA	NA
NA	NA	656	NA	115	NA	NA	NA	NA	354	NA	NA	NA	NA	NA	NA	NA
NA	NA	567	NA	27	NA	NA	NA	NA	1663	NA	NA	NA	NA	NA	NA	NA
NA	NA	806	NA	30	NA	NA	NA	NA	1309	NA	NA	NA	NA	NA	NA	NA
NA	NA	1282	NA	66	NA	NA	NA	NA	1164	NA	NA	NA	NA	NA	NA	NA
NA	NA	3781	NA	146	NA	NA	NA	NA	1939	NA	NA	NA	NA	NA	NA	NA
NA	NA	5961	NA	658	NA	NA	NA	NA	1780	NA	NA	NA	NA	NA	NA	NA
NA	NA	2459	NA	338	NA	NA	NA	NA	1154	NA	NA	NA	NA	NA	NA	NA
NA	NA	2013	NA	220	NA	NA	NA	NA	2208	NA	NA	NA	NA	NA	NA	NA
NA	NA	2459	NA	534	NA	NA	NA	NA	3367	NA	NA	NA	NA	NA	NA	NA
NA	NA	8890	NA	863	NA	NA	NA	NA	5476	NA	NA	NA	NA	NA	NA	NA
NA	NA	8479	NA	1378	NA	NA	NA	NA	6052	NA	NA	NA	NA	NA	NA	NA
NA	NA	4607	NA	1418	NA	NA	NA	NA	2337	NA	NA	NA	NA	NA	NA	NA
NA	NA	3891	NA	1628	NA	NA	NA	NA	3292	NA	NA	NA	NA	NA	NA	NA
NA	NA	6561	NA	1012	NA	NA	NA	NA	3537	NA	NA	NA	NA	NA	NA	NA
NA	NA	3163	NA	544	NA	NA	NA	NA	2362	NA	NA	NA	NA	NA	NA	NA
NA	NA	6489	NA	518	NA	NA	NA	NA	4023	NA	NA	NA	NA	NA	NA	NA
NA	1004	6838	NA	723	NA	NA	NA	NA	5157	NA	NA	NA	NA	NA	NA	NA
31775	1133	6173	NA	1048	NA	NA	NA	NA	5902	NA	NA	NA	NA	NA	NA	NA
17221	701	3192	NA	532	NA	NA	NA	NA	2697	NA	NA	NA	NA	NA	NA	NA
23076	797	2562	NA	597	NA	NA	NA	NA	4886	NA	NA	NA	NA	NA	NA	NA
59606	2751	8162	NA	1418	NA	NA	NA	NA	8058	NA	NA	NA	NA	NA	NA	NA
52268	2544	15039	NA	1343	NA	NA	NA	NA	13604	NA	NA	NA	NA	NA	NA	NA
100210	3322	7638	3756	1339	NA	NA	NA	NA	10407	NA	NA	NA	NA	NA	NA	NA
57153	2549	8288	1004	1907	NA	NA	NA	NA	3902	NA	NA	NA	NA	NA	NA	NA
98338	5125	8439	NA	2009	NA	NA	NA	NA	5041	NA	NA	NA	NA	NA	NA	77
40952	1642	5174	NA	1455	NA	NA	NA	NA	2877	NA	NA	NA	NA	NA	NA	67
47028	3231	7215	NA	1431	NA	NA	NA	NA	3672	NA	NA	NA	NA	NA	NA	22
65520	3749	9957	NA	2089	NA	NA	NA	NA	11482	NA	NA	NA	NA	NA	NA	179
69149	3707	18664	NA	1006	NA	NA	NA	NA	12104	NA	NA	NA	NA	NA	NA	104
93121	3554	17731	NA	2444	NA	NA	NA	NA	9317	NA	NA	NA	NA	NA	NA	NA
52030	2888	8812	661	1392	NA	NA	NA	NA	3224	NA	NA	NA	372	NA	NA	66
20260	1819	7943	363	1170	NA	NA	NA	NA	4549	NA	NA	NA	434	NA	NA	NA
24629	1706	9256	429	1178	NA	NA	NA	NA	7696	NA	NA	NA	110	NA	NA	352
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
