coef_r	coef_c	coef_o	
NA	NA	NA	
NA	NA	NA	
NA	NA	NA	
NA	NA	NA	
NA	NA	NA	
1.24	1.33	1.18	
1.24	1.33	1.18	
1.24	1.33	1.18	
1.24	1.33	1.18	
1.24	1.33	1.18	
1.24	1.33	1.18	
1.24	1.33	1.18	
1.24	1.33	1.18	
1.24	1.33	1.18	
1.22	1.21	1.15	
1.22	1.21	1.15	
1.22	1.21	1.15	
1.22	1.21	1.15	
1.22	1.21	1.15	
1.22	1.21	1.15	
1.22	1.21	1.15	
1.23	1.2	1.16	
1.23	1.2	1.16	
1.23	1.2	1.16	
1.23	1.2	1.16	
1.23	1.2	1.12	
1.23	1.11	1.12	
1.23	1.11	1.04	
1.23	1.1	1.04	
1.23	1.1	1.04	
1.2	1.1	1.03	
1.2	1.1	1.03	
1.2	1.1	1.03	#2019
1.2	1.1	1.03	#2020
1.2	1.1	1.03	#2021
1.2	1.1	1.03	#2022
1.2	1.1	1.03	#2023
1.2	1.1	1.03	#2024
